Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	AT2RVenus	0.599619222	0.73261637	0.013303489
V2RRLuc	AT2RVenus	0.680998429	0.739476919	0.01219798
V2RRLuc	AT2RVenus	0.742241997	0.811116755	0.006253797
V2RRLuc	AT2RVenus	0.500934915	0.962108868	0.006507156
V2RRLuc	AT2RVenus	0.668753264	1.064331043	0.012142187
V2RRLuc	AT2RVenus	0.535432132	1.095053437	0.010273932
V2RRLuc	AT2RVenus	0.534114256	1.163901901	0.009893162
V2RRLuc	AT2RVenus	0.753935232	1.255980456	0.008865202
V2RRLuc	AT2RVenus	0.357505694	1.259161164	0.007859735
V2RRLuc	AT2RVenus	0.292150146	1.268153655	0.004965732
V2RRLuc	AT2RVenus	0.343210288	1.278908994	0.008119286
V2RRLuc	AT2RVenus	0.692324269	1.326222093	0.008885552
V2RRLuc	AT2RVenus	0.417001873	1.3393247	0.00656412
V2RRLuc	AT2RVenus	0.434615432	1.381618412	0.004148319
V2RRLuc	AT2RVenus	0.448549221	1.400026263	0.006172778
V2RRLuc	AT2RVenus	0.439286068	1.522651423	0.007345774
V2RRLuc	AT2RVenus	0.283804997	1.6242733	0.001673346
V2RRLuc	AT2RVenus	0.048787201	1.679815158	0.001325579
V2RRLuc	AT2RVenus	0.4774547	1.695730202	0.006944414
V2RRLuc	AT2RVenus	0.324837382	1.904369491	0.004851673
V2RRLuc	AT2RVenus	0.317891427	1.925315603	0.00378208
V2RRLuc	AT2RVenus	0.213166215	2.092026935	0.000898621
V2RRLuc	AT2RVenus	0.089596503	2.127944765	0.000974581
